StartTime,ForecastTime,ActualPower_MW,PredictedPower_MW
2018/08/26 05:00:00,2018/08/27 05:00:00,0,-0.05311629
2018/08/26 05:15:00,2018/08/27 05:15:00,0,-0.004029804
2018/08/26 05:30:00,2018/08/27 05:30:00,0,-0.004029804
2018/08/26 05:45:00,2018/08/27 05:45:00,0,0.02836062
2018/08/26 06:00:00,2018/08/27 06:00:00,0.230877,0.1071235
2018/08/26 06:15:00,2018/08/27 06:15:00,0.515032,0.1724703
2018/08/26 06:30:00,2018/08/27 06:30:00,0.976785,0.2543968
2018/08/26 06:45:00,2018/08/27 06:45:00,1.811493,0.3357068
2018/08/26 07:00:00,2018/08/27 07:00:00,3.072434,0.4333919
2018/08/26 07:15:00,2018/08/27 07:15:00,3.072434,0.5309066
2018/08/26 07:30:00,2018/08/27 07:30:00,4.80046640711703,0.6794603
2018/08/26 07:45:00,2018/08/27 07:45:00,5.35531906574181,0.7270536
2018/08/26 08:00:00,2018/08/27 08:00:00,5.683115,0.8710708
2018/08/26 08:15:00,2018/08/27 08:15:00,6.40983283615587,0.9197236
2018/08/26 08:30:00,2018/08/27 08:30:00,6.90497835808834,0.9197236
2018/08/26 08:45:00,2018/08/27 08:45:00,7.37585764153137,0.9197236
2018/08/26 09:00:00,2018/08/27 09:00:00,7.82045430910256,0.9197236
2018/08/26 09:15:00,2018/08/27 09:15:00,7.672204,0.9197236
2018/08/26 09:30:00,2018/08/27 09:30:00,8.62330517057795,0.9197236
2018/08/26 09:45:00,2018/08/27 09:45:00,8.9781214338374,0.9197236
2018/08/26 10:00:00,2018/08/27 10:00:00,9.29979394168234,0.9197236
2018/08/26 10:15:00,2018/08/27 10:15:00,9.58694524305012,0.9197236
2018/08/26 10:30:00,2018/08/27 10:30:00,9.83834571198402,0.9197236
2018/08/26 10:45:00,2018/08/27 10:45:00,10.0529188130804,0.9197236
2018/08/26 11:00:00,2018/08/27 11:00:00,10.2297457113784,0.9197236
2018/08/26 11:15:00,2018/08/27 11:15:00,10.3680692069526,0.9197236
2018/08/26 11:30:00,2018/08/27 11:30:00,10.4672969773592,0.9197236
2018/08/26 11:45:00,2018/08/27 11:45:00,10.5270041140515,0.9197236
2018/08/26 12:00:00,2018/08/27 12:00:00,10.5469349419038,0.9197236
2018/08/26 12:15:00,2018/08/27 12:15:00,10.5270041140515,0.9197236
2018/08/26 12:30:00,2018/08/27 12:30:00,10.4672969773592,0.9197236
2018/08/26 12:45:00,2018/08/27 12:45:00,10.3680692069526,0.9197236
2018/08/26 13:00:00,2018/08/27 13:00:00,10.2297457113784,0.9197236
